Item No,Location,Brand,Type/Material,Style,Pattern,Size,Group,Color,Procurement Price,Cost Price,Base Rate (Without Tax),Discount Percentage,base_rate_discount,GST %,MRP Price (With Tax),Stock opening date,Stock closing date,Quantity available,Quantity sold
6941,T.Nagar,Polo,Linen,Casual,Stonewashed,XXL,Autumn,Red,2497.62,2797.3344,4475.73504,10,4028.16,16,4672.67,22-Nov-23,21-Mar-24,192,144
6942,Coimbatore,Zara,Wool,Jogger,Stripes,XL,Winter,Black,2444.62,2737.9744,4380.75904,0,4380.76,16,5081.68,06-Sep-23,04-Jan-24,155,116
6943,T.Nagar,Tommy Hilfiger,Cotton,Formal,Stripes,S,Autumn,Grey,758.69,849.7328,1359.57248,40,815.74,16,946.26,16-Aug-23,14-Dec-23,256,192
6944,Trichy,Zara,Linen,Slim,Solid,XXL,Summer,Blue,2515.06,2816.8672,4506.98752,0,4506.99,12,5047.83,10-Apr-24,08-Aug-24,904,678
6945,Madurai,Tommy Hilfiger,Wool,Slim,Solid,XL,Spring,Green,587.43,657.9216,1052.67456,5,1000.04,12,1120.04,01-Feb-24,31-May-24,356,267
6946,T.Nagar,Allen Solly,Wool,Formal,Plain,XXL,Winter,Black,1669.11,1869.4032,2991.04512,10,2691.94,15,3095.73,26-Oct-23,23-Feb-24,875,656
6947,Madurai,Tommy Hilfiger,Cotton,Jogger,Washed,S,Autumn,Grey,1266.8,1418.816,2270.1056,25,1702.58,16,1974.99,24-Dec-23,22-Apr-24,917,688
6948,Salem,Allen Solly,Cotton,Formal,Stonewashed,XL,Spring,Green,3910.3,4379.536,7007.2576,15,5956.17,14,6790.03,13-May-24,10-Sep-24,581,436
6949,T.Nagar,Celio,,Casual,Plain,S,Summer,Blue,723.06,809.8272,1295.72352,35,842.22,12,943.29,29-Jan-24,28-May-24,234,176
6950,T.Nagar,Allen Solly,Linen,Jogger,Plain,S,Summer,Black,3089.23,3459.9376,5535.90016,50,2767.95,15,3183.14,13-Mar-24,11-Jul-24,438,328
6951,Chrompet,Tommy Hilfiger,Denim,Formal,Stripes,XXL,Autumn,Black,1475.58,1652.6496,2644.23936,15,2247.6,14,2562.26,25-Apr-24,23-Aug-24,872,654
6952,Madurai,Arrow,Wool,Slim,Washed,S,Spring,Green,861.75,965.16,1544.256,45,849.34,12,951.26,24-Apr-24,22-Aug-24,434,326
6953,Salem,Tommy Hilfiger,Cotton,Formal,Stripes,M,Spring,Red,3406.29,3815.0448,6104.07168,0,6104.07,16,7080.72,28-Mar-24,26-Jul-24,775,581
6954,T.Nagar,Zara,Denim,Casual,Plain,S,Winter,Grey,3819.87,4278.2544,6845.20704,40,4107.12,18,4846.4,11-Feb-24,10-Jun-24,571,428
6955,Madurai,Tommy Hilfiger,Polyester,Bootcut,Washed,L,Summer,Blue,3465.45,3881.304,6210.0864,0,6210.09,15,7141.6,11-Mar-24,09-Jul-24,166,124
6956,Madurai,Tommy Hilfiger,Linen,Jogger,Plain,XXL,Winter,Blue,2087.93,2338.4816,3741.57056,5,3554.49,18,4194.3,12-Jan-24,11-May-24,820,615
6957,Coimbatore,Tommy Hilfiger,Wool,Formal,Plain,S,Autumn,Red,1505.46,1686.1152,2697.78432,15,2293.12,16,2660.02,02-Jul-24,30-Oct-24,245,184
6958,Coimbatore,Zara,Cotton,Bootcut,Stonewashed,L,Autumn,Green,1295.05,1450.456,2320.7296,40,1392.44,14,1587.38,10-Jun-24,08-Oct-24,898,674
6959,Chrompet,Polo,Cotton,Formal,Stripes,M,Autumn,Blue,1131.83,1267.6496,2028.23936,10,1825.42,16,2117.49,15-Sep-23,13-Jan-24,480,360
6960,Salem,Arrow,Wool,Formal,Washed,M,Summer,Grey,2421.87,2712.4944,4339.99104,50,2170,18,2560.6,26-Feb-24,25-Jun-24,949,712
6961,Trichy,Celio,Linen,Jogger,Washed,L,Winter,Blue,1439.43,1612.1616,2579.45856,5,2450.49,12,2744.55,22-Sep-23,20-Jan-24,197,148
6962,Coimbatore,Arrow,Polyester,Casual,Stripes,XL,Spring,Green,2102.03,2354.2736,3766.83776,25,2825.13,15,3248.9,19-Sep-23,17-Jan-24,595,446
6963,Trichy,Polo,Wool,Jogger,Stripes,XXL,Autumn,Red,782.26,876.1312,1401.80992,30,981.27,12,1099.02,01-Nov-23,29-Feb-24,954,716
6964,Salem,Zara,Cotton,Jogger,Stonewashed,S,Summer,Blue,2202.68,2467.0016,3947.20256,50,1973.6,15,2269.64,22-Aug-23,20-Dec-23,809,607
6965,Chrompet,Polo,Linen,Jogger,Stonewashed,S,Winter,Grey,1020.69,1143.1728,1829.07648,10,1646.17,16,1909.56,28-Nov-23,27-Mar-24,639,479
6966,Trichy,Polo,Wool,Casual,Plain,M,Winter,Black,1445.29,1618.7248,2589.95968,45,1424.48,16,1652.4,08-Mar-24,06-Jul-24,507,380
6967,Coimbatore,Zara,Polyester,Bootcut,Stripes,S,Summer,Blue,3782.51,4236.4112,6778.25792,15,5761.52,12,6452.9,13-Jun-24,11-Oct-24,422,316
6968,Trichy,Zara,Cotton,Bootcut,Plain,M,Winter,Black,2101.03,2353.1536,3765.04576,45,2070.78,14,2360.69,11-Feb-24,10-Jun-24,582,436
6969,Madurai,Tommy Hilfiger,Linen,Jogger,Solid,L,Autumn,Blue,1508.58,1689.6096,2703.37536,15,2297.87,16,2665.53,15-Jun-24,13-Oct-24,750,562
6970,Chrompet,Polo,Denim,Bootcut,Plain,XXL,Summer,Blue,3482.58,3900.4896,6240.78336,20,4992.63,18,5891.3,21-Jan-24,20-May-24,505,379
6971,Madurai,Allen Solly,Polyester,Formal,Stripes,S,Summer,Grey,1309.58,1466.7296,2346.76736,45,1290.72,18,1523.05,30-Jul-24,27-Nov-24,442,332
6972,Madurai,Polo,,Slim,Solid,L,Spring,Black,3483.9,3901.968,6243.1488,0,6243.15,15,7179.62,07-May-24,04-Sep-24,999,749
6973,Salem,Arrow,Wool,Jogger,Washed,M,Autumn,Red,1533.02,1716.9824,2747.17184,15,2335.1,14,2662.01,04-Apr-24,02-Aug-24,490,368
6974,Salem,Polo,Polyester,Slim,Solid,M,Summer,Blue,3592.87,4024.0144,6438.42304,5,6116.5,14,6972.81,20-Dec-23,18-Apr-24,735,551
6975,Chrompet,Celio,,Casual,Plain,S,Autumn,Grey,752.4,842.688,1348.3008,35,876.4,18,1034.15,04-Dec-23,02-Apr-24,679,509
6976,T.Nagar,Celio,Denim,Casual,Washed,M,Autumn,Red,2803.4,3139.808,5023.6928,35,3265.4,15,3755.21,16-Jun-24,14-Oct-24,825,619
6977,Chrompet,Allen Solly,,Casual,Plain,S,Autumn,Grey,1621.63,1816.2256,2905.96096,5,2760.66,15,3174.76,22-Nov-23,21-Mar-24,701,526
6978,Trichy,Celio,Denim,Formal,Plain,S,Spring,Red,2116.46,2370.4352,3792.69632,30,2654.89,16,3079.67,18-Oct-23,15-Feb-24,799,599
6979,Trichy,Zara,,Slim,Stonewashed,XL,Summer,Grey,3984.11,4462.2032,7139.52512,30,4997.67,16,5797.3,29-Jun-24,27-Oct-24,996,747
6980,Trichy,Zara,Cotton,Slim,Plain,L,Summer,Red,1524.76,1707.7312,2732.36992,25,2049.28,14,2336.18,06-Feb-24,05-Jun-24,854,640
6981,Chrompet,Tommy Hilfiger,Linen,Bootcut,Plain,XXL,Spring,Red,2420.18,2710.6016,4336.96256,10,3903.27,12,4371.66,19-Sep-23,17-Jan-24,694,520
6982,Coimbatore,Polo,Denim,Slim,Plain,XL,Spring,Red,2424.2,2715.104,4344.1664,50,2172.08,18,2563.05,25-Mar-24,23-Jul-24,927,695
6983,T.Nagar,Arrow,Cotton,Casual,Solid,XL,Winter,Red,3809.01,4266.0912,6825.74592,50,3412.87,14,3890.67,26-Oct-23,23-Feb-24,248,186
6984,Chrompet,Tommy Hilfiger,Denim,Casual,Stonewashed,L,Winter,Blue,1588.95,1779.624,2847.3984,15,2420.29,12,2710.72,08-Oct-23,05-Feb-24,237,178
6985,Coimbatore,Zara,Polyester,Slim,Stripes,S,Spring,Red,3448.07,3861.8384,6178.94144,20,4943.15,15,5684.62,16-Dec-23,14-Apr-24,361,271
6986,Madurai,Allen Solly,Polyester,Jogger,Solid,XXL,Autumn,Green,585.66,655.9392,1049.50272,20,839.6,16,973.94,24-Mar-24,22-Jul-24,393,295
6987,Coimbatore,Polo,Denim,Bootcut,Solid,XL,Spring,Green,2686.5,3008.88,4814.208,40,2888.52,16,3350.68,05-Jan-24,04-May-24,730,548
6988,Salem,Polo,Wool,Formal,Solid,M,Winter,Black,2766.99,3099.0288,4958.44608,5,4710.52,12,5275.78,27-Jul-24,24-Nov-24,480,360
6989,Madurai,Arrow,Polyester,Casual,Solid,XL,Winter,Green,2171.74,2432.3488,3891.75808,15,3307.99,12,3704.95,26-Oct-23,23-Feb-24,843,632
6990,Coimbatore,Allen Solly,Polyester,Formal,Stripes,XL,Winter,Red,3128.94,3504.4128,5607.06048,15,4766,18,5623.88,26-Jul-24,23-Nov-24,910,682
6991,Chrompet,Polo,Denim,Formal,Stripes,L,Winter,Red,2852.4,3194.688,5111.5008,40,3066.9,16,3557.6,12-Dec-23,10-Apr-24,868,651
6992,Trichy,Celio,,Casual,Plain,S,Summer,Green,1789.84,2004.6208,3207.39328,5,3047.02,18,3595.48,10-Apr-24,08-Aug-24,743,557
6993,Salem,Allen Solly,Linen,Jogger,Plain,M,Spring,Green,937.48,1049.9776,1679.96416,10,1511.97,15,1738.77,14-Jan-24,13-May-24,501,376
6994,Trichy,Celio,Denim,Bootcut,Solid,XXL,Spring,Black,2497.7,2797.424,4475.8784,0,4475.88,16,5192.02,09-Feb-24,08-Jun-24,103,77
6995,Chrompet,Polo,,Bootcut,Washed,S,Winter,Black,2503.38,2803.7856,4486.05696,25,3364.54,15,3869.22,29-Aug-23,27-Dec-23,772,579
6996,Salem,Allen Solly,Wool,Slim,Stripes,M,Summer,Blue,3830.91,4290.6192,6864.99072,50,3432.5,16,3981.7,20-Aug-23,18-Dec-23,92,69
6997,T.Nagar,Polo,Cotton,Jogger,Washed,L,Autumn,Red,3222.47,3609.1664,5774.66624,10,5197.2,18,6132.7,07-May-24,04-Sep-24,799,599
6998,Chrompet,Allen Solly,Linen,Casual,Plain,S,Winter,Red,3118.66,3492.8992,5588.63872,45,3073.75,14,3504.07,16-Jul-24,13-Nov-24,675,506
6999,Coimbatore,Polo,Denim,Casual,Stripes,L,Autumn,Blue,2317.1,2595.152,4152.2432,25,3114.18,14,3550.17,15-Apr-24,13-Aug-24,142,106
7000,Trichy,Polo,Denim,Bootcut,Washed,S,Spring,Green,2378.78,2664.2336,4262.77376,45,2344.53,14,2672.76,09-Dec-23,07-Apr-24,754,566
7001,T.Nagar,Polo,Denim,Casual,Solid,XL,Winter,Blue,3519.85,3942.232,6307.5712,40,3784.54,18,4465.76,05-Nov-23,04-Mar-24,616,462
7002,Trichy,Allen Solly,Polyester,Bootcut,Stonewashed,L,Autumn,Green,1222.17,1368.8304,2190.12864,45,1204.57,12,1349.12,09-Feb-24,08-Jun-24,81,61
7003,Madurai,Zara,Denim,Bootcut,Washed,L,Spring,Green,1242.71,1391.8352,2226.93632,30,1558.86,14,1777.1,31-Jan-24,30-May-24,770,578
7004,T.Nagar,Polo,,Slim,Stripes,XL,Summer,Red,2899.74,3247.7088,5196.33408,0,5196.33,18,6131.67,23-Oct-23,20-Feb-24,847,635
7005,Madurai,Celio,,Formal,Stripes,XL,Summer,Green,2841.92,3182.9504,5092.72064,5,4838.08,16,5612.17,07-Jul-24,04-Nov-24,709,532
7006,Madurai,Celio,Cotton,Casual,Washed,XL,Autumn,Blue,1831.6,2051.392,3282.2272,20,2625.78,18,3098.42,27-Feb-24,26-Jun-24,160,120
7007,Madurai,Arrow,Linen,Bootcut,Stonewashed,M,Summer,Red,1009.79,1130.9648,1809.54368,50,904.77,14,1031.44,04-Apr-24,02-Aug-24,339,254
7008,Salem,Polo,,Formal,Stonewashed,XXL,Winter,Blue,1402.02,1570.2624,2512.41984,45,1381.83,15,1589.1,04-Sep-23,02-Jan-24,737,553
7009,T.Nagar,Celio,,Formal,Plain,L,Summer,Blue,1565.01,1752.8112,2804.49792,20,2243.6,16,2602.58,12-Jan-24,11-May-24,911,683
7010,Trichy,Tommy Hilfiger,Polyester,Casual,Stripes,S,Summer,Black,649.39,727.3168,1163.70688,10,1047.34,12,1173.02,08-Sep-23,06-Jan-24,951,713
7011,Coimbatore,Tommy Hilfiger,Linen,Casual,Solid,M,Spring,Grey,2569.09,2877.3808,4603.80928,0,4603.81,14,5248.34,14-May-24,11-Sep-24,848,636
7012,Coimbatore,Arrow,Denim,Casual,Stonewashed,XXL,Winter,Black,3680.89,4122.5968,6596.15488,15,5606.73,16,6503.81,17-Jul-24,14-Nov-24,970,728
7013,T.Nagar,Celio,Linen,Slim,Washed,M,Spring,Black,1188.37,1330.9744,2129.55904,15,1810.13,16,2099.75,05-May-24,02-Sep-24,175,131
7014,Madurai,Celio,Wool,Formal,Washed,L,Winter,Grey,2686.3,3008.656,4813.8496,30,3369.69,16,3908.84,04-Nov-23,03-Mar-24,883,662
7015,T.Nagar,Celio,,Bootcut,Plain,S,Spring,Green,3541.78,3966.7936,6346.86976,0,6346.87,18,7489.31,16-Oct-23,13-Feb-24,769,577
7016,Chrompet,Allen Solly,Wool,Jogger,Solid,L,Autumn,Green,2257.89,2528.8368,4046.13888,40,2427.68,12,2719,12-Apr-24,10-Aug-24,891,668
7017,Chrompet,Celio,,Formal,Stonewashed,XXL,Summer,Red,1612.83,1806.3696,2890.19136,10,2601.17,15,2991.35,08-Nov-23,07-Mar-24,870,652
7018,Salem,Arrow,,Slim,Solid,XXL,Autumn,Green,1352.52,1514.8224,2423.71584,35,1575.42,15,1811.73,20-Dec-23,18-Apr-24,458,344
7019,Salem,Arrow,Cotton,Slim,Stripes,S,Spring,Red,2759.88,3091.0656,4945.70496,30,3461.99,16,4015.91,18-May-24,15-Sep-24,337,253
7020,Madurai,Allen Solly,Cotton,Slim,Solid,XL,Spring,Green,2526.77,2829.9824,4527.97184,30,3169.58,15,3645.02,11-Apr-24,09-Aug-24,853,640
7021,Chrompet,Tommy Hilfiger,,Formal,Plain,M,Autumn,Green,3283.78,3677.8336,5884.53376,20,4707.63,14,5366.7,24-Jun-24,22-Oct-24,587,440
7022,Trichy,Tommy Hilfiger,Linen,Slim,Solid,XXL,Autumn,Blue,997.13,1116.7856,1786.85696,50,893.43,16,1036.38,12-Oct-23,09-Feb-24,843,632
7023,Chrompet,Polo,Polyester,Slim,Stripes,L,Summer,Blue,3802.52,4258.8224,6814.11584,30,4769.88,12,5342.27,27-Jul-24,24-Nov-24,64,48
7024,Trichy,Celio,Denim,Bootcut,Solid,L,Autumn,Black,2334.38,2614.5056,4183.20896,15,3555.73,18,4195.76,01-Oct-23,29-Jan-24,124,93
7025,Salem,Allen Solly,Denim,Bootcut,Stonewashed,L,Autumn,Blue,1993.42,2232.6304,3572.20864,20,2857.77,14,3257.86,10-Dec-23,08-Apr-24,573,430
7026,T.Nagar,Tommy Hilfiger,,Slim,Washed,L,Winter,Blue,849.07,950.9584,1521.53344,5,1445.46,18,1705.64,05-May-24,02-Sep-24,53,40
7027,Trichy,Polo,,Slim,Stripes,L,Summer,Grey,1516.7,1698.704,2717.9264,25,2038.44,12,2283.05,14-Nov-23,13-Mar-24,885,664
7028,Salem,Tommy Hilfiger,Polyester,Casual,Stonewashed,L,Winter,Grey,3705.5,4150.16,6640.256,5,6308.24,12,7065.23,16-Jul-24,13-Nov-24,325,244
7029,Chrompet,Polo,Cotton,Formal,Washed,M,Winter,Green,2524.48,2827.4176,4523.86816,5,4297.67,16,4985.3,03-Feb-24,02-Jun-24,659,494
7030,Chrompet,Tommy Hilfiger,Polyester,Slim,Solid,XXL,Autumn,Blue,1078.72,1208.1664,1933.06624,25,1449.8,15,1667.27,06-Oct-23,03-Feb-24,879,659
7031,Salem,Celio,Polyester,Slim,Plain,XXL,Autumn,Black,3463.97,3879.6464,6207.43424,5,5897.06,15,6781.62,04-Sep-23,02-Jan-24,884,663
7032,Madurai,Allen Solly,,Bootcut,Stonewashed,XL,Autumn,Black,1452.82,1627.1584,2603.45344,35,1692.24,16,1963,21-Jul-24,18-Nov-24,740,555
7033,Madurai,Celio,Cotton,Bootcut,Plain,L,Summer,Green,2068.47,2316.6864,3706.69824,10,3336.03,18,3936.52,25-Jan-24,24-May-24,229,172
7034,T.Nagar,Tommy Hilfiger,Cotton,Slim,Stonewashed,XL,Autumn,Blue,3289.53,3684.2736,5894.83776,5,5600.1,14,6384.11,17-Aug-23,15-Dec-23,820,615
7035,Salem,Tommy Hilfiger,Wool,Slim,Washed,L,Autumn,Red,1712.9,1918.448,3069.5168,40,1841.71,18,2173.22,12-Aug-23,10-Dec-23,155,116
7036,Coimbatore,Allen Solly,Cotton,Slim,Stripes,XXL,Summer,Blue,3895.38,4362.8256,6980.52096,5,6631.49,12,7427.27,14-Apr-24,12-Aug-24,872,654
7037,Trichy,Arrow,Wool,Casual,Stripes,XL,Summer,Blue,1097.97,1229.7264,1967.56224,50,983.78,14,1121.51,11-Aug-23,09-Dec-23,490,368
7038,Chrompet,Arrow,Wool,Bootcut,Plain,M,Winter,Red,2319.98,2598.3776,4157.40416,35,2702.31,18,3188.73,30-Mar-24,28-Jul-24,450,338
7039,Trichy,Zara,Wool,Slim,Washed,XL,Autumn,Grey,3835.13,4295.3456,6872.55296,35,4467.16,12,5003.22,08-Aug-23,06-Dec-23,633,475
7040,Salem,Arrow,Wool,Casual,Washed,M,Winter,Blue,2085.6,2335.872,3737.3952,20,2989.92,18,3528.11,09-Sep-23,07-Jan-24,50,38
7041,Coimbatore,Celio,Linen,Casual,Stripes,L,Summer,Blue,941.8,1054.816,1687.7056,45,928.24,16,1076.76,06-Dec-23,04-Apr-24,233,175
7042,Trichy,Polo,Wool,Casual,Solid,L,Winter,Grey,2812.01,3149.4512,5039.12192,15,4283.25,14,4882.9,10-Apr-24,08-Aug-24,271,203
7043,Coimbatore,Tommy Hilfiger,Wool,Formal,Solid,S,Spring,Green,1850.16,2072.1792,3315.48672,35,2155.07,15,2478.33,15-Feb-24,14-Jun-24,683,512
7044,Trichy,Celio,Denim,Formal,Stonewashed,L,Autumn,Blue,3800.27,4256.3024,6810.08384,10,6129.08,14,6987.15,28-Apr-24,26-Aug-24,976,732
7045,Trichy,Polo,Wool,Formal,Washed,XL,Spring,Grey,2371.97,2656.6064,4250.57024,20,3400.46,16,3944.53,14-May-24,11-Sep-24,124,93
7046,T.Nagar,Polo,Cotton,Bootcut,Stonewashed,L,Winter,Red,3730.07,4177.6784,6684.28544,0,6684.29,15,7686.93,07-Sep-23,05-Jan-24,123,92
7047,Madurai,Celio,Wool,Bootcut,Washed,S,Autumn,Red,1213.84,1359.5008,2175.20128,30,1522.64,12,1705.36,05-Jan-24,04-May-24,598,448
7048,Coimbatore,Polo,Polyester,Slim,Solid,M,Autumn,Grey,3173.87,3554.7344,5687.57504,0,5687.58,15,6540.72,21-Aug-23,19-Dec-23,701,526
7049,Salem,Allen Solly,,Casual,Stripes,XL,Spring,Grey,2825.75,3164.84,5063.744,15,4304.18,14,4906.77,25-Aug-23,23-Dec-23,472,354
7050,Trichy,Tommy Hilfiger,,Casual,Solid,M,Winter,Red,858.07,961.0384,1537.66144,40,922.6,12,1033.31,24-Sep-23,22-Jan-24,323,242
7051,Madurai,Celio,Cotton,Slim,Stripes,XXL,Spring,Green,1647.62,1845.3344,2952.53504,45,1623.89,18,1916.19,14-Nov-23,13-Mar-24,538,404
7052,Chrompet,Celio,Linen,Formal,Washed,XXL,Autumn,Black,538.98,603.6576,965.85216,45,531.22,12,594.97,21-Mar-24,19-Jul-24,740,555
7053,Madurai,Arrow,Wool,Casual,Washed,XL,Summer,Green,1205.34,1349.9808,2159.96928,15,1835.97,15,2111.37,05-Jul-24,02-Nov-24,980,735
7054,Coimbatore,Tommy Hilfiger,Denim,Slim,Stripes,M,Summer,Black,3915.86,4385.7632,7017.22112,20,5613.78,18,6624.26,25-Oct-23,22-Feb-24,61,46
7055,Salem,Allen Solly,Denim,Casual,Washed,XXL,Winter,Grey,1641.78,1838.7936,2942.06976,10,2647.86,18,3124.47,25-Jan-24,24-May-24,696,522
7056,Coimbatore,Arrow,Denim,Slim,Washed,M,Autumn,Red,3346.31,3747.8672,5996.58752,0,5996.59,12,6716.18,25-Feb-24,24-Jun-24,592,444
7057,Trichy,Allen Solly,Wool,Formal,Washed,XL,Summer,Red,2180.64,2442.3168,3907.70688,10,3516.94,12,3938.97,01-Oct-23,29-Jan-24,701,526
7058,T.Nagar,Arrow,Linen,Bootcut,Washed,L,Summer,Grey,854.73,957.2976,1531.67616,5,1455.09,14,1658.8,23-Feb-24,22-Jun-24,559,419
7059,Salem,Tommy Hilfiger,Cotton,Jogger,Stripes,S,Summer,Red,3449.17,3863.0704,6180.91264,35,4017.59,14,4580.05,31-Jul-23,28-Nov-23,127,95
7060,Salem,Arrow,Wool,Slim,Stripes,XXL,Autumn,Blue,1397.15,1564.808,2503.6928,40,1502.22,16,1742.58,13-Sep-23,11-Jan-24,997,748
7061,T.Nagar,Allen Solly,Denim,Formal,Plain,L,Autumn,Blue,534.99,599.1888,958.70208,50,479.35,14,546.46,10-Dec-23,08-Apr-24,111,83
7062,Trichy,Tommy Hilfiger,Wool,Formal,Plain,L,Summer,Blue,1796.47,2012.0464,3219.27424,30,2253.49,14,2568.98,26-Jun-24,24-Oct-24,288,216
7063,Trichy,Allen Solly,Linen,Formal,Washed,L,Summer,Blue,2950.66,3304.7392,5287.58272,0,5287.58,18,6239.34,28-May-24,25-Sep-24,374,280
7064,Chrompet,Celio,Linen,Jogger,Solid,S,Summer,Black,1064.2,1191.904,1907.0464,20,1525.64,12,1708.72,05-Mar-24,03-Jul-24,300,225
7065,Trichy,Arrow,Polyester,Bootcut,Plain,L,Summer,Blue,2896.83,3244.4496,5191.11936,25,3893.34,15,4477.34,23-Jan-24,22-May-24,862,646
7066,Chrompet,Zara,Wool,Jogger,Stonewashed,M,Winter,Grey,590.85,661.752,1058.8032,50,529.4,12,592.93,10-Jul-24,07-Nov-24,130,98
7067,Salem,Polo,Denim,Casual,Stonewashed,XL,Autumn,Blue,924.64,1035.5968,1656.95488,15,1408.41,12,1577.42,17-Feb-24,16-Jun-24,138,104
7068,Madurai,Zara,,Slim,Plain,M,Spring,Black,3012.97,3374.5264,5399.24224,15,4589.36,18,5415.44,01-Sep-23,30-Dec-23,1000,750
7069,Madurai,Allen Solly,,Formal,Plain,L,Winter,Black,2243.53,2512.7536,4020.40576,30,2814.28,12,3151.99,13-Jul-24,10-Nov-24,302,226
7070,Salem,Arrow,Linen,Formal,Plain,XL,Spring,Red,908.76,1017.8112,1628.49792,0,1628.5,14,1856.49,29-Jun-24,27-Oct-24,575,431
7071,T.Nagar,Allen Solly,Wool,Jogger,Washed,L,Summer,Red,3098.19,3469.9728,5551.95648,10,4996.76,12,5596.37,02-Mar-24,30-Jun-24,888,666
7072,Trichy,Arrow,Denim,Jogger,Stonewashed,S,Spring,Green,3524.81,3947.7872,6316.45952,35,4105.7,12,4598.38,15-Apr-24,13-Aug-24,952,714
7073,T.Nagar,Allen Solly,Denim,Bootcut,Stonewashed,XXL,Spring,Red,2520.23,2822.6576,4516.25216,25,3387.19,15,3895.27,11-Nov-23,10-Mar-24,154,116
7074,Trichy,Celio,Wool,Slim,Solid,M,Summer,Grey,3123.48,3498.2976,5597.27616,30,3918.09,12,4388.26,01-Aug-23,29-Nov-23,845,634
7075,Madurai,Polo,Linen,Formal,Stonewashed,S,Spring,Grey,1787.91,2002.4592,3203.93472,35,2082.56,14,2374.12,29-Jul-24,26-Nov-24,188,141
7076,Salem,Polo,Denim,Casual,Plain,L,Winter,Grey,1616.7,1810.704,2897.1264,50,1448.56,12,1622.39,17-Apr-24,15-Aug-24,290,218
7077,Madurai,Tommy Hilfiger,Linen,Formal,Stonewashed,L,Summer,Red,2537.57,2842.0784,4547.32544,35,2955.76,16,3428.68,25-Sep-23,23-Jan-24,340,255
7078,Coimbatore,Polo,Denim,Bootcut,Plain,XXL,Autumn,Grey,3402.44,3810.7328,6097.17248,30,4268.02,15,4908.22,02-Dec-23,31-Mar-24,550,412
7079,Salem,Celio,Polyester,Bootcut,Stonewashed,S,Winter,Blue,1709.45,1914.584,3063.3344,30,2144.33,14,2444.54,15-Mar-24,13-Jul-24,228,171
7080,Salem,Arrow,Denim,Casual,Stonewashed,L,Summer,Green,3695.52,4138.9824,6622.37184,40,3973.42,15,4569.43,18-Apr-24,16-Aug-24,829,622
7081,T.Nagar,Tommy Hilfiger,,Jogger,Stonewashed,XL,Autumn,Blue,3293.61,3688.8432,5902.14912,25,4426.61,14,5046.34,10-Sep-23,08-Jan-24,478,358
7082,Trichy,Celio,Wool,Jogger,Plain,XXL,Autumn,Black,3086.22,3456.5664,5530.50624,15,4700.93,16,5453.08,18-May-24,15-Sep-24,330,248
7083,Trichy,Polo,Cotton,Jogger,Stripes,M,Winter,Blue,1932.21,2164.0752,3462.52032,30,2423.76,15,2787.32,07-Apr-24,05-Aug-24,766,574
7084,Coimbatore,Arrow,,Formal,Stonewashed,XL,Spring,Grey,1700.83,1904.9296,3047.88736,35,1981.13,18,2337.73,21-Jan-24,20-May-24,997,748
7085,Coimbatore,Polo,Denim,Formal,Washed,XL,Winter,Grey,1346.95,1508.584,2413.7344,35,1568.93,16,1819.96,26-Nov-23,25-Mar-24,188,141
7086,Madurai,Celio,Linen,Jogger,Plain,L,Summer,Grey,2609.23,2922.3376,4675.74016,10,4208.17,14,4797.31,02-Mar-24,30-Jun-24,489,367
7087,Chrompet,Zara,,Casual,Stonewashed,XXL,Autumn,Red,2406.4,2695.168,4312.2688,0,4312.27,16,5002.23,22-Mar-24,20-Jul-24,648,486
7088,Salem,Celio,Denim,Casual,Washed,M,Winter,Blue,3162.6,3542.112,5667.3792,40,3400.43,14,3876.49,18-Jun-24,16-Oct-24,604,453
7089,Madurai,Allen Solly,Cotton,Slim,Plain,L,Summer,Blue,3739.13,4187.8256,6700.52096,20,5360.42,16,6218.09,16-Aug-23,14-Dec-23,342,256
7090,Trichy,Zara,Wool,Casual,Stripes,S,Spring,Black,3073.82,3442.6784,5508.28544,20,4406.63,12,4935.43,20-May-24,17-Sep-24,278,208
7091,Coimbatore,Celio,Cotton,Jogger,Washed,L,Winter,Blue,2472.4,2769.088,4430.5408,10,3987.49,14,4545.74,20-Oct-23,17-Feb-24,273,205
7092,Salem,Allen Solly,Cotton,Casual,Washed,S,Spring,Grey,2649.55,2967.496,4747.9936,45,2611.4,14,2977,22-May-24,19-Sep-24,261,196
7093,Chrompet,Polo,,Casual,Stripes,S,Autumn,Blue,1241.32,1390.2784,2224.44544,35,1445.89,15,1662.77,04-Dec-23,02-Apr-24,61,46
7094,Coimbatore,Polo,Cotton,Formal,Plain,L,Winter,Red,728.21,815.5952,1304.95232,40,782.97,14,892.59,18-Sep-23,16-Jan-24,105,79
7095,Madurai,Polo,Cotton,Jogger,Stripes,XXL,Summer,Black,1769.95,1982.344,3171.7504,10,2854.58,14,3254.22,27-Sep-23,25-Jan-24,65,49
7096,Salem,Allen Solly,Wool,Casual,Stripes,S,Summer,Grey,3518.53,3940.7536,6305.20576,40,3783.12,14,4312.76,26-Feb-24,25-Jun-24,921,691
7097,Coimbatore,Zara,Denim,Formal,Stripes,XL,Summer,Green,3800.56,4256.6272,6810.60352,45,3745.83,16,4345.16,17-Jul-24,14-Nov-24,134,100
7098,T.Nagar,Celio,Linen,Bootcut,Solid,L,Summer,Grey,1387.55,1554.056,2486.4896,0,2486.49,18,2934.06,26-Mar-24,24-Jul-24,301,226
